OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1034,Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,NA
OTU1035,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1036,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Piriformospora,NA
OTU1037,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,NA
OTU1038,Fungi,Olpidiomycota,Olpidiomycetes,NA,NA,NA,NA
OTU1039,Fungi,Olpidiomycota,GS18,GS18,NA,NA,NA
OTU104,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,NA
OTU1040,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1041,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1042,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,NA,NA,NA
OTU1043,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1045,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1046,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA
OTU1048,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,NA,NA,NA
OTU1049,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU105,Alveolata,Colponemidia,NA,NA,NA,NA,NA
OTU1050,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA
OTU1051,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA
OTU1052,Stramenopila,Oomycota,Saprolegniomycetes,Saprolegniales,NA,NA,NA
OTU1053,Viridiplantae,Streptophyta,Angiospermae,Poales,Poaceae,Oryza,NA
OTU1054,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Pestalotiopsis,NA
OTU1055,Fungi,Olpidiomycota,GS18,GS18,NA,NA,NA
OTU1056,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,NA
OTU1057,Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,NA
OTU1058,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1059,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU106,Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
OTU1061,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,NA
OTU1062,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA
OTU1063,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU1064,Viridiplantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,NA,NA
OTU1065,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU1066,Alveolata,NA,NA,NA,NA,NA,NA
OTU1068,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1069,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU107,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1070,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1071,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,NA
OTU1072,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1073,Viridiplantae,Chlorophyta,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chlamydomonas,NA
OTU1074,Viridiplantae,Chlorophyta,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chlamydomonas,NA
OTU1075,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
OTU1076,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
OTU1078,Stramenopila,Oomycota,Peronosporomycetes,Peronosporales,Peronosporaceae,Phytophthora,NA
OTU1079,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,NA
OTU1081,Amoebozoa,Lobosa,Tubulinea,Euamoebida,NA,NA,NA
OTU1082,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1083,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Piriformospora,NA
OTU1084,Fungi,Ascomycota,Sordariomycetes,Cephalothecales,Cephalothecaceae,Phialemonium,NA
OTU1085,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,Acrocalymma,NA
OTU1086,Amoebozoa,Conosa,Variosea,NA,NA,NA,NA
OTU1087,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU1088,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU1089,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella,NA
OTU109,Fungi,Ascomycota,Orbiliomycetes,NA,NA,NA,NA
OTU1090,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA
OTU1091,Fungi,Basidiomycota,Microbotryomycetes,NA,NA,Slooffia,NA
OTU1092,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1093,Viridiplantae,Streptophyta,Angiospermae,Poales,Poaceae,Oryza,NA
OTU1094,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA
OTU1095,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,NA
OTU1096,Rhizaria,Haplosporidia,NA,Plasmodiophorida,NA,NA,NA
OTU1097,Stramenopila,Oomycota,Peronosporomycetes,Peronosporales,Peronosporaceae,Phytophthora,NA
OTU1098,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Pseudozyma,NA
OTU1099,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,Gonium,NA
OTU11,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU1100,Euglenozoa,Kinetoplastia,NA,NA,NA,NA,NA
OTU1101,Alveolata,NA,NA,NA,NA,NA,NA
OTU1102,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,NA
OTU1103,Fungi,Ascomycota,Sordariomycetes,Cephalothecales,Cephalothecaceae,Phialemonium,NA
OTU1104,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,NA
OTU1105,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1106,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1107,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1108,NA,NA,NA,NA,NA,NA,NA
OTU1109,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU111,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1110,Viridiplantae,NA,NA,NA,NA,NA,NA
OTU1111,Amoebozoa,Tubulinea,Arcellinidea,NA,NA,NA,NA
OTU1112,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU1113,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA
OTU1114,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,NA
OTU1115,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1116,NA,NA,NA,NA,NA,NA,NA
OTU1117,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1118,Fungi,NA,NA,NA,NA,NA,NA
OTU1119,Fungi,Basidiomycota,Agaricomycetes,Boletales,NA,NA,NA
OTU112,Alveolata,Apicomplexa,Coccidia,NA,NA,NA,NA
OTU1120,Stramenopila,Chrysophyta,Chrysophyceae,Chromulinales,NA,NA,NA
OTU1122,Metazoa,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA
OTU1123,NA,NA,NA,NA,NA,NA,NA
OTU1124,Metazoa,NA,NA,NA,NA,NA,NA
OTU1125,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA
OTU1126,Alveolata,Ciliophora,Oligohymenophorea,Philasterida,NA,NA,NA
OTU1127,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU1128,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,NA
OTU1129,Metazoa,NA,NA,NA,NA,NA,NA
OTU113,Fungi,NA,NA,NA,NA,NA,NA
OTU1130,NA,NA,NA,NA,NA,NA,NA
OTU1131,NA,NA,NA,NA,NA,NA,NA
OTU1132,NA,NA,NA,NA,NA,NA,NA
OTU1133,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1134,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA
OTU1135,Viridiplantae,Chlorophyta,Incertae_sedis,Incertae_sedis,Incertae_sedis,Chlamydomonas,NA
OTU1136,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA
OTU1138,Alveolata,Ciliophora,Litostomatea,Haptorida,NA,NA,NA
OTU1139,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU114,Heterolobosa,Heterolobosia,Heterolobosea,Acrasida,NA,NA,NA
OTU1140,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA
OTU1141,Fungi,Blastocladiomycota,Blastocladiomycetes,NA,NA,NA,NA
OTU1143,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1144,NA,NA,NA,NA,NA,NA,NA
OTU1146,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,NA
OTU1147,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1148,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1149,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU1150,Euglenozoa,Kinetoplastia,NA,NA,NA,NA,NA
OTU1151,Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
OTU1152,Stramenopila,Bicosoecida,NA,NA,NA,NA,NA
OTU1153,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1155,Fungi,Mucoromycota,Mucoromycetes,NA,NA,NA,NA
OTU1156,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU1157,Rhizaria,Endomyxa,Phytomyxea,Vampyrellida,NA,NA,NA
OTU1158,Alveolata,Ciliophora,Litostomatea,Haptorida,NA,NA,NA
OTU1159,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,NA
OTU116,Stramenopila,Oomycota,Oomycetes,NA,NA,NA,NA
OTU1160,Alveolata,Ciliophora,Colpodea,NA,NA,NA,NA
OTU1161,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU1162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1163,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1164,Viridiplantae,Chlorophyta,Incertae_sedis,Incertae_sedis,NA,NA,NA
OTU1165,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1166,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU1167,Viridiplantae,Chlorophyta,Incertae_sedis,Incertae_sedis,NA,NA,NA
OTU1168,Fungi,Mucoromycota,Endogonomycetes,NA,NA,NA,NA
OTU117,Rhizaria,Cercozoa,NA,Cercomonadida,Cercomonadidae,NA,NA
OTU1170,Alveolata,Ciliophora,Oligohymenophorea,Astomatida,NA,NA,NA
OTU1171,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1172,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,NA
OTU1173,Euglenozoa,Kinetoplastia,NA,NA,NA,NA,NA
OTU1174,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,NA
OTU1175,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,NA,NA,NA
OTU1176,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1177,Viridiplantae,Chlorophyta,Chlorophyceae,NA,NA,NA,NA
OTU1178,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA
OTU1179,Heterolobosa,NA,NA,NA,NA,NA,NA
OTU118,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA
OTU1180,Amoebozoa,Lobosa,NA,NA,NA,NA,NA
OTU1181,Fungi,NA,NA,NA,NA,NA,NA
OTU1182,Rhizaria,Haplosporidia,NA,NA,NA,NA,NA
OTU1183,Stramenopila,Bicosoecida,NA,NA,NA,NA,NA
OTU1184,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1185,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Psilocybe,NA
OTU1186,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA
OTU1187,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU1188,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1189,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1190,Alveolata,Ciliophora,Spirotrichea,Stichotrichida,NA,NA,NA
OTU1191,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1192,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma,NA
OTU1193,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,NA
OTU1194,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA
OTU1195,Rhizaria,Cercozoa,Imbricatea,NA,NA,NA,NA
OTU1196,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1197,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,NA
OTU1198,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1199,Viridiplantae,Bryophyta,Bryopsida,NA,NA,NA,NA
OTU120,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU1200,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,NA
OTU1201,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1202,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
OTU1204,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,NA
OTU1205,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1206,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
OTU1207,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU1208,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1209,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1210,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,NA
OTU1211,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU1212,Heterolobosa,Heterolobosia,Heterolobosea,Acrasida,NA,NA,NA
OTU1213,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Porphyrellus,NA
OTU1214,Amoebozoa,Conosa,Variosea,NA,NA,NA,NA
OTU1215,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,NA
OTU1216,Stramenopila,Oomycota,Peronosporomycetes,Peronosporales,Pythiaceae,Pythium,NA
OTU1217,NA,NA,NA,NA,NA,NA,NA
OTU1218,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,NA
OTU1219,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU122,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU1220,Alveolata,Ciliophora,Oligohymenophorea,Peniculida,NA,NA,NA
OTU1221,Euglenozoa,NA,NA,NA,NA,NA,NA
OTU1222,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1223,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1224,Alveolata,Ciliophora,Oligohymenophorea,Philasterida,NA,NA,NA
OTU1225,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,NA,NA,NA
OTU1226,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,NA
OTU1227,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella,NA
OTU1228,Fungi,NA,NA,NA,NA,NA,NA
OTU1229,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Tetracystis,NA
OTU123,Heterolobosa,Heterolobosia,Heterolobosea,NA,NA,NA,NA
OTU1231,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1232,Rhizaria,Haplosporidia,NA,NA,NA,NA,NA
OTU1233,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,NA
OTU1234,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,NA,NA
OTU1235,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1236,Stramenopila,Hyphochytria,Hyphochytriomycetes,Hyphochytriales,NA,NA,NA
OTU1239,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,NA,NA
OTU124,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1240,Alveolata,Ciliophora,Spirotrichea,Stichotrichida,NA,NA,NA
OTU1241,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,NA,NA,NA
OTU1242,NA,NA,NA,NA,NA,NA,NA
OTU1244,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1245,Stramenopila,Oomycota,Saprolegniomycetes,Saprolegniales,NA,NA,NA
OTU1246,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA
OTU1247,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,NA
OTU1248,Amoebozoa,Lobosa,NA,Longamoebia,NA,NA,NA
OTU1249,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,NA
OTU125,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA
OTU1250,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1251,NA,NA,NA,NA,NA,NA,NA
OTU1253,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1254,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1255,Metazoa,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
OTU1257,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1258,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1259,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU126,Fungi,Chytridiomycota,Chytridiomycetes,NA,NA,NA,NA
OTU1261,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,NA,NA,NA
OTU1262,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,NA
OTU1263,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,NA
OTU1264,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,NA
OTU1266,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,NA
OTU1267,Rhizaria,Haplosporidia,NA,NA,NA,NA,NA
OTU1268,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1269,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU127,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU1270,Heterolobosa,NA,NA,NA,NA,NA,NA
OTU1271,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriopsis,NA
OTU1272,NA,NA,NA,NA,NA,NA,NA
OTU1275,Rhizaria,Haplosporidia,NA,NA,NA,NA,NA
OTU1276,Alveolata,Ciliophora,Spirotrichea,Urostylida,NA,NA,NA
OTU1277,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU1278,Amoebozoa,NA,NA,NA,NA,NA,NA
OTU128,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1280,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dothidotthiaceae,Pleiochaeta,NA
OTU1281,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,NA
OTU1282,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Testudinaceae,NA,NA
OTU1283,Stramenopila,Hyphochytria,Hyphochytriomycetes,Hyphochytriales,NA,NA,NA
OTU1284,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,NA,NA
OTU1285,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Subulicystidium,NA
OTU1286,Rhizaria,Haplosporidia,NA,NA,NA,NA,NA
OTU1287,Alveolata,Ciliophora,Nassophorea,Nassulida,NA,NA,NA
OTU1288,Fungi,NA,NA,NA,NA,NA,NA
OTU129,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU1291,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1292,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1293,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA
OTU1294,Fungi,Monoblepharomycota,Monoblepharidomycetes,Monoblepharidales,NA,NA,NA
OTU1297,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1298,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1299,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU13,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU130,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1300,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1301,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1302,Metazoa,NA,NA,NA,NA,NA,NA
OTU1303,Alveolata,Ciliophora,Colpodea,NA,NA,NA,NA
OTU1304,Fungi,Ascomycota,Leotiomycetes,Helotiales,Pezizellaceae,Chalara,NA
OTU1306,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,NA
OTU1307,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,NA
OTU1309,Alveolata,Ciliophora,Litostomatea,NA,NA,NA,NA
OTU131,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU1310,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,NA
OTU1312,NA,NA,NA,NA,NA,NA,NA
OTU1313,Euglenozoa,NA,NA,NA,NA,NA,NA
OTU1314,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU1315,Alveolata,Ciliophora,Nassophorea,Nassulida,NA,NA,NA
OTU1316,Heterolobosa,NA,NA,NA,NA,NA,NA
OTU1317,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1318,Alveolata,NA,NA,NA,NA,NA,NA
OTU1319,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,NA,NA,NA
OTU132,Fungi,Basidiobolomycota,Basidiobolomycetes,NA,NA,NA,NA
OTU1320,Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
OTU1321,Euglenozoa,NA,NA,NA,NA,NA,NA
OTU1322,Fungi,Chytridiomycota,Lobulomycetes,NA,NA,NA,NA
OTU1323,Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
OTU1324,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1325,Alveolata,Ciliophora,NA,NA,NA,NA,NA
