OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1048,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,NA
OTU1049,Fungi,NA,NA,NA,NA,NA,NA
OTU105,Alveolata,Colponemidia,NA,NA,NA,NA,NA
OTU1050,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1051,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Chlorococcum,NA
OTU1052,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces_cochlioides
OTU1053,Viridiplantae,Anthophyta,Monocotyledonae,Poales,Poaceae,NA,NA
OTU1054,Fungi,Ascomycota,Sordariomycetes,Sordariales,Schizotheciaceae,Pseudoechria,Pseudoechria_longicollis
OTU1055,Fungi,Olpidiomycota,GS18,NA,NA,NA,NA
OTU1056,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,NA
OTU1057,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1058,NA,NA,NA,NA,NA,NA,NA
OTU1059,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU106,Metazoa,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
OTU1061,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU1062,NA,NA,NA,NA,NA,NA,NA
OTU1063,Fungi,Ascomycota,Dothideomycetes,Microthyriales,NA,NA,NA
OTU1064,Viridiplantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Weissia,NA
OTU1065,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU1066,Alveolata,Colponemidia,NA,NA,NA,NA,NA
OTU1068,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1069,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU107,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU1070,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1071,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,NA
OTU1072,Cryptista,Katablepharidophyta,NA,NA,NA,NA,NA
OTU1073,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1074,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1075,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces_starkeyi
OTU1076,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA
OTU1078,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Lagenidium,NA
OTU1079,Alveolata,Ciliophora,Oligohymenophorea,NA,NA,NA,NA
OTU1081,NA,NA,NA,NA,NA,NA,NA
OTU1082,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,NA
OTU1083,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU1084,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU1085,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Wettsteinina,NA
OTU1086,Glaucocystoplantae,Glaucocystophyta,NA,NA,NA,NA,NA
OTU1087,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Poaceascoma,NA
OTU1088,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Neophaeosphaeriaceae,Neophaeosphaeria,NA
OTU1089,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,NA
OTU109,Fungi,NA,NA,NA,NA,NA,NA
OTU1090,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Chlorococcum,NA
OTU1091,Fungi,Basidiomycota,Microbotryomycetes,NA,NA,NA,NA
OTU1092,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Hoehnelomycetaceae,NA,NA
OTU1093,Viridiplantae,Anthophyta,Monocotyledonae,Poales,Poaceae,Digitaria,Digitaria_ischaemum
OTU1094,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Mirandina,NA
OTU1095,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU1096,Rhizaria,Endomyxa,Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Polymyxa,Polymyxa_graminis
OTU1097,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_cooljarloo
OTU1098,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Pseudozyma,NA
OTU1099,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Goniaceae,Gonium,Gonium_pectorale
OTU11,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1100,NA,NA,NA,NA,NA,NA,NA
OTU1101,Fungi,NA,NA,NA,NA,NA,NA
OTU1102,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1103,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU1104,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Goffeauzyma,Goffeauzyma_gastrica
OTU1105,NA,NA,NA,NA,NA,NA,NA
OTU1106,NA,NA,NA,NA,NA,NA,NA
OTU1107,NA,NA,NA,NA,NA,NA,NA
OTU1108,NA,NA,NA,NA,NA,NA,NA
OTU1109,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,NA,NA
OTU111,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Semispathidium,NA
OTU1110,Glaucocystoplantae,Glaucocystophyta,NA,NA,NA,NA,NA
OTU1111,Metazoa,NA,NA,NA,NA,NA,NA
OTU1112,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,NA
OTU1113,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_occultum
OTU1114,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,NA
OTU1115,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Semispathidium,NA
OTU1116,NA,NA,NA,NA,NA,NA,NA
OTU1117,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1118,NA,NA,NA,NA,NA,NA,NA
OTU1119,NA,NA,NA,NA,NA,NA,NA
OTU112,NA,NA,NA,NA,NA,NA,NA
OTU1120,Stramenopila,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Poteriospumella,NA
OTU1122,Metazoa,Arthropoda,Collembola,NA,Bourletiellidae,Bourletiella,NA
OTU1123,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_piperis
OTU1124,NA,NA,NA,NA,NA,NA,NA
OTU1125,Metazoa,Nematoda,Chromadorea,Rhabditida,Anguinidae,Ditylenchus,NA
OTU1126,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1127,Viridiplantae,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Pleurastrum,NA
OTU1128,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU1129,NA,NA,NA,NA,NA,NA,NA
OTU113,Fungi,NA,NA,NA,NA,NA,NA
OTU1130,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_intermedius
OTU1131,Viridiplantae,Anthophyta,Monocotyledonae,Asparagales,Orchidaceae,Dendrobium,Dendrobium_hookerianum
OTU1132,NA,NA,NA,NA,NA,NA,NA
OTU1133,NA,NA,NA,NA,NA,NA,NA
OTU1134,NA,NA,NA,NA,NA,NA,NA
OTU1135,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1136,NA,NA,NA,NA,NA,NA,NA
OTU1138,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Semispathidium,NA
OTU1139,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU114,NA,NA,NA,NA,NA,NA,NA
OTU1140,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU1141,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,NA,NA,NA
OTU1143,Alveolata,Ciliophora,Colpodea,Colpodida,Colpodidae,Colpoda,NA
OTU1144,NA,NA,NA,NA,NA,NA,NA
OTU1146,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,NA
OTU1147,NA,NA,NA,NA,NA,NA,NA
OTU1148,Metazoa,NA,NA,NA,NA,NA,NA
OTU1149,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
OTU1150,NA,NA,NA,NA,NA,NA,NA
OTU1151,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,NA
OTU1152,Stramenopila,Ochrophyta,Eustigmatophyceae,NA,NA,NA,NA
OTU1153,NA,NA,NA,NA,NA,NA,NA
OTU1155,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Chaetocladiaceae,Chaetocladium,NA
OTU1156,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1157,NA,NA,NA,NA,NA,NA,NA
OTU1158,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Arcuospathidium,NA
OTU1159,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU116,Stramenopila,Oomycota,NA,NA,NA,NA,NA
OTU1160,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1161,Viridiplantae,Chlorophyta,Pleurastrophyceae,Pleurastrales,Pleurastraceae,Pleurastrum,NA
OTU1162,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1163,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1164,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_marvanii
OTU1165,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1166,Fungi,NA,NA,NA,NA,NA,NA
OTU1167,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1168,Fungi,NA,NA,NA,NA,NA,NA
OTU117,NA,NA,NA,NA,NA,NA,NA
OTU1170,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1171,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1172,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU1173,NA,NA,NA,NA,NA,NA,NA
OTU1174,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_radiata
OTU1175,NA,NA,NA,NA,NA,NA,NA
OTU1176,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1177,Viridiplantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA
OTU1178,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU1179,NA,NA,NA,NA,NA,NA,NA
OTU118,NA,NA,NA,NA,NA,NA,NA
OTU1180,NA,NA,NA,NA,NA,NA,NA
OTU1181,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,NA,NA,NA
OTU1182,NA,NA,NA,NA,NA,NA,NA
OTU1183,Stramenopila,NA,NA,NA,NA,NA,NA
OTU1184,Metazoa,NA,NA,NA,NA,NA,NA
OTU1185,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU1186,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_occultum
OTU1187,Fungi,NA,NA,NA,NA,NA,NA
OTU1188,Amoebozoa,Variosea,NA,NA,NA,NA,NA
OTU1189,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Emericellopsis,Emericellopsis_robusta
OTU1190,Alveolata,Ciliophora,Spirotrichea,Stichotrichida,Amphisiellidae,Paraurostyla,NA
OTU1191,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,NA
OTU1192,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,NA
OTU1193,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema_flavescens
OTU1194,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1195,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1196,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1197,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_lunariae
OTU1198,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1199,Viridiplantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Acaulon,NA
OTU120,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU1200,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,NA
OTU1201,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1202,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
OTU1204,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_carneus
OTU1205,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Sarocladium,Sarocladium_strictum
OTU1206,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
OTU1207,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlorococcaceae,Tetracystis,NA
OTU1208,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU1209,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,NA,NA
OTU1210,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,Septoriella_hollandica
OTU1211,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,NA
OTU1212,NA,NA,NA,NA,NA,NA,NA
OTU1213,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU1214,Glaucocystoplantae,Glaucocystophyta,NA,NA,NA,NA,NA
OTU1215,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,Stachybotrys_microsporus
OTU1216,NA,NA,NA,NA,NA,NA,NA
OTU1217,NA,NA,NA,NA,NA,NA,NA
OTU1218,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_carneus
OTU1219,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU122,Fungi,Basidiomycota,Ustilaginomycetes,Violaceomycetales,NA,NA,NA
OTU1220,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1221,NA,NA,NA,NA,NA,NA,NA
OTU1222,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Mesorhabditis,NA
OTU1223,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1224,Alveolata,Ciliophora,Colpodea,Colpodida,Colpodidae,Colpoda,NA
OTU1225,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1226,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,Stachybotrys_microsporus
OTU1227,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,NA
OTU1228,NA,NA,NA,NA,NA,NA,NA
OTU1229,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA
OTU123,NA,NA,NA,NA,NA,NA,NA
OTU1231,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU1232,Rhizaria,Endomyxa,Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Polymyxa,Polymyxa_graminis
OTU1233,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Achroiostachys,Achroiostachys_betulicola
OTU1234,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Tumidellaceae,Tumidella,NA
OTU1235,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1236,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1239,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora_kazachstanica
OTU124,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_fimbriatum
OTU1240,Alveolata,Ciliophora,Spirotrichea,Stichotrichida,Amphisiellidae,Paraurostyla,NA
OTU1241,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1242,NA,NA,NA,NA,NA,NA,NA
OTU1244,Fungi,Chytridiomycota,NA,NA,NA,NA,NA
OTU1245,NA,NA,NA,NA,NA,NA,NA
OTU1246,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_terricola
OTU1247,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon_utriforme
OTU1248,NA,NA,NA,NA,NA,NA,NA
OTU1249,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
OTU125,NA,NA,NA,NA,NA,NA,NA
OTU1250,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1251,NA,NA,NA,NA,NA,NA,NA
OTU1253,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,NA
OTU1254,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Oxytrichidae,NA,NA
OTU1255,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Mesorhabditis,NA
OTU1257,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1258,NA,NA,NA,NA,NA,NA,NA
OTU1259,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,NA,NA
OTU126,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1261,Alveolata,Ciliophora,Spirotrichea,Urostylida,NA,NA,NA
OTU1262,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,NA
OTU1263,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraloratospora,Paraloratospora_camporesii
OTU1264,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Limnoperdaceae,NA,NA
OTU1266,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Sporothrix,Sporothrix_sclerotialis
OTU1267,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1268,Fungi,Rozellomycota,NA,NA,NA,NA,NA
OTU1269,NA,NA,NA,NA,NA,NA,NA
OTU127,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU1270,NA,NA,NA,NA,NA,NA,NA
OTU1271,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_lunariae
OTU1272,NA,NA,NA,NA,NA,NA,NA
OTU1275,Rhizaria,NA,NA,NA,NA,NA,NA
OTU1276,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1277,NA,NA,NA,NA,NA,NA,NA
OTU1278,NA,NA,NA,NA,NA,NA,NA
OTU128,NA,NA,NA,NA,NA,NA,NA
OTU1280,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella,Keissleriella_caraganae
OTU1281,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Limnoperdaceae,NA,NA
OTU1282,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora_kazachstanica
OTU1283,Rhizaria,Cercozoa,NA,NA,NA,NA,NA
OTU1284,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Tumidellaceae,Tumidella,NA
OTU1285,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Subulicystidium,NA
OTU1286,Rhizaria,Endomyxa,Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Polymyxa,Polymyxa_graminis
OTU1287,Alveolata,Ciliophora,Nassophorea,Nassulida,Nassulidae,Nassula,NA
OTU1288,Fungi,Basidiomycota,Exobasidiomycetes,NA,NA,NA,NA
OTU129,Fungi,Ascomycota,Dothideomycetes,Microthyriales,Microthyriaceae,Antidactylaria,Antidactylaria_ampulliformis
OTU1291,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1292,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1293,Alveolata,NA,NA,NA,NA,NA,NA
OTU1294,NA,NA,NA,NA,NA,NA,NA
OTU1297,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
OTU1298,Alveolata,Ciliophora,Spirotrichea,Sporadotrichida,Halteriidae,Halteria,NA
OTU1299,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU13,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,NA
OTU130,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Arcuospathidium,NA
OTU1300,Alveolata,Ciliophora,Litostomatea,Haptorida,Spathidiidae,Arcuospathidium,NA
OTU1301,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,NA
OTU1302,NA,NA,NA,NA,NA,NA,NA
OTU1303,Alveolata,Ciliophora,NA,NA,NA,NA,NA
OTU1304,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
OTU1306,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,Iodophanus_carneus
OTU1307,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,NA
OTU1309,NA,NA,NA,NA,NA,NA,NA
OTU131,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU1310,Alveolata,Ciliophora,Oligohymenophorea,NA,Epistylidae,Rhabdostyla,NA
